ID,Artist_ID,Album_Title,Genre,Year,Tracks,Sales,Avg_Rating,Controversy_Std,Sales_Potential_Score,Artistic_Value_Score,Composite_Score,Investment_Grade,Recommendation
12340,40859,I'm Da Real,Rap,2000,2,559310,5.0,0.0,94.321,100.0,96.87655000000001,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
4088,3167,Nissan,Western,2002,2,365317,5.0,0.0,93.75250000000001,100.0,96.56387500000001,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
90475,33699,Nervous,Indie,2002,2,380188,5.0,0.0,93.75250000000001,100.0,96.56387500000001,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
15028,15041,Honor Sing Icelandic,Techno,2005,2,441548,5.0,0.0,92.804,100.0,96.04220000000001,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
90024,35370,Cute Bling-a-ding Rich,Pop,2003,3,394263,5.0,0.0,91.805,100.0,95.49275,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
83115,48618,Big Biker Bike,Hard Rock,2009,2,955526,5.0,0.0,91.477,100.0,95.31235000000001,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics; Proven sales track record
13363,7718,Alright Banana,Blues,2004,3,385011,5.0,0.0,91.437,100.0,95.29035,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
94538,34815,Mike Of For my,Indietronica,2002,2,886085,4.5,0.0,96.087,93.0,94.69785000000002,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics; Proven sales track record
25642,39732,Sin Malay Suspend Exciting Tiny,Gospel,2012,2,739361,5.0,0.0,90.33149999999999,100.0,94.68232499999999,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
7015,14052,Available,Indie,2012,2,452704,5.0,0.0,90.33149999999999,100.0,94.68232499999999,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
77345,47148,Fantastic Baby,Dance,2004,2,286981,4.5,0.0,95.64399999999999,93.0,94.4542,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
97567,15454,Towering Cow Several,Country,2003,4,570546,5.0,0.0,89.865,100.0,94.42575,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
46441,8381,The Soups For Us,Metal,2005,2,890844,4.5,0.0,95.413,93.0,94.32715,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics; Proven sales track record
75559,48730,Aggressive,Electro-Pop,2000,3,550958,4.5,0.0,95.387,93.0,94.31285,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
4725,45528,Carrots My Old,Pop-Rock,2009,3,694403,5.0,0.0,89.4995,100.0,94.224725,S - Must Sign,Critically acclaimed; High commercial potential; Consensus among critics
